,,,,,,lat,long,,,
,Objective,50.70464607,,,New DC:,35.23996234,-104.0199801,,,
,,,,,,,,,,
,Store Location,,Current DC,,,New DC,,Model Decision,,
Stores,lat,long,lat,long,Current DC Distance,lat,long,New DC Dist,Use New?,Dist
Caramel Cascades,37.6,-89.67,33.71,-113.94,24.5797681,35.23996234,-104.0199801,14.54275442,TRUE,14.54275442
Coconut Cluster Caves,41.05,-108.86,33.71,-113.94,8.926477469,35.23996234,-104.0199801,7.561899914,TRUE,7.561899914
Coconut Cream Cove,31.56,-102.59,33.71,-113.94,11.55183968,35.23996234,-104.0199801,3.94803317,TRUE,3.94803317
Frozen Fudge Fjords,43.21,-111.48,33.71,-113.94,9.813337862,35.23996234,-104.0199801,10.91665687,FALSE,9.813337862
Lava Cake Ledges,36.79,-106.76,33.71,-113.94,7.812733197,35.23996234,-104.0199801,3.148067003,TRUE,3.148067003
Licorice Lanes,33.08,-94.17,33.71,-113.94,19.78003539,35.23996234,-104.0199801,10.08402425,TRUE,10.08402425
Praline Park,35.24,-104.02,33.71,-113.94,10.03729545,35.23996234,-104.0199801,4.25961E-05,TRUE,4.25961E-05
Sprinkle Street,33.19,-115.46,33.71,-113.94,1.60648685,35.23996234,-104.0199801,11.62223736,FALSE,1.60648685
,,,,,,,,,,
